,Lugar de residencia,Cód. distrito,Cód. municipio,Población,Confirmados PDIA,Confirmados PDIA 14 días,Tasa PDIA 14 días,Confirmados PDIA 7 días,Total Confirmados,Curados,Fallecidos
62,Cuevas del Campo,,18912,1.744,111,7,"401,4",4,111,76,0
63,Cúllar,,18056,4.091,152,10,"244,4",1,154,62,1
64,Darro,,18063,1.634,131,0,"0,0",0,131,105,3
65,Dehesas de Guadix,,18064,422,37,0,"0,0",0,37,31,1
66,Diezma,,18067,764,50,0,"0,0",0,52,35,2
67,Dólar,,18069,628,19,0,"0,0",0,19,8,0
68,Ferreira,,18074,301,3,0,"0,0",0,3,3,0
69,Fonelas,,18076,978,52,8,"818,0",0,52,32,1
70,Freila,,18078,939,63,3,"319,5",0,63,58,1
71,Galera,,18082,1.071,65,14,"1.307,2",1,66,37,1
72,Gor,,18085,744,20,0,"0,0",0,21,18,0
73,Gorafe,,18086,383,17,0,"0,0",0,17,6,1
74,Guadix,,18089,18.436,1.487,141,"764,8",68,1.532,987,26
75,Huélago,,18096,401,69,1,"249,4",1,69,52,0
76,Huéneja,,18097,1.170,44,0,"0,0",0,44,34,3
77,Huéscar,,18098,7.195,612,62,"861,7",18,620,353,19
78,Jérez del Marquesado,,18108,955,57,1,"104,7",1,57,52,0
79,Lanteira,,18117,564,40,1,"177,3",0,41,34,0
80,Lugros,,18123,310,13,1,"322,6",1,13,8,0
81,Marchal,,18128,414,12,1,"241,5",0,12,8,1
82,Morelábor,,18909,572,59,0,"0,0",0,59,46,0
83,Orce,,18146,1.185,33,15,"1.265,8",7,33,13,0
84,Pedro Martínez,,18152,1.138,148,4,"351,5",1,148,78,4
85,Peza (La),,18154,1.167,46,2,"171,4",0,46,17,2
86,Polícar,,18161,263,2,0,"0,0",0,2,2,0
87,Puebla de Don Fadrique,,18164,2.238,244,5,"223,4",0,245,190,4
88,Purullena,,18167,2.306,177,13,"563,7",2,179,119,2
89,Valle del Zalabí,,18907,2.105,121,5,"237,5",1,123,91,0
90,Villanueva de las Torres,,18187,562,17,0,"0,0",0,17,11,0
91,Zújar,,18194,2.544,178,24,"943,4",7,180,112,2
92,Granada (distrito),03046,,240.363,21.013,768,"319,5",250,21.386,15.892,468
93,Beas de Granada,,18024,980,63,1,"102,0",0,63,30,2
94,Granada (capital),,18087,233.648,20.479,749,"320,6",244,20.847,15.537,462
95,Huétor de Santillán,,18099,1.882,152,2,"106,3",1,154,81,1
96,Jun,,18111,3.853,319,16,"415,3",5,322,244,3
97,Metropolitano de Granada,03056,,432.102,33.607,1.225,"283,5",448,33.915,24.315,727
98,Agrón,,18001,260,13,0,"0,0",0,14,13,0
99,Albolote,,18003,18.962,1.496,71,"374,4",28,1.518,1.078,19
100,Albuñuelas,,18007,802,44,0,"0,0",0,44,40,0
101,Alfacar,,18011,5.488,513,23,"419,1",6,516,336,9
102,Algarinejo,,18012,2.467,353,3,"121,6",0,354,220,12
103,Alhama de Granada,,18013,5.867,219,27,"460,2",25,220,163,3
104,Alhendín,,18014,9.509,665,28,"294,5",9,668,480,12
105,Arenas del Rey,,18020,653,27,1,"153,1",1,27,24,1
